covariate,n_lo,n_hi,mean_lo,mean_hi,mean_diff,cohens_d,spearman_r,pct_hi_near_zero,rank_d,rank_rho,rank_zero,composite
SCANFIBlackSpruce_1km,34912,49439,26.449,9.65,16.799,0.881,-0.533,0.241,2,1,14,17
SCANFITamarack_1km,36492,49756,5.137,1.7,3.436,0.591,-0.428,0.296,5,4,13,22
SCANFITamarack_5x5,36492,49756,5.054,1.702,3.351,0.628,-0.431,0.24,4,3,15,22
SCANFIBlackSpruce_5x5,25065,36496,23.163,8.468,14.695,0.924,-0.507,0.114,1,2,20,23
SCANFIJackPine_1km,36492,49756,5.374,2.551,2.824,0.357,-0.307,0.381,7,6,10,23
Peatland_1km,36209,48936,18.65,7.138,11.512,0.658,-0.388,0.154,3,5,16,24
SCANFIJackPine_5x5,36193,49746,5.232,2.484,2.748,0.376,-0.298,0.302,6,7,12,25
SCANFIDouglasFir_5x5,32034,25194,0,0,-0,-0.007,-0.003,0.996,10,15,1,26
SCANFILodgepolePine_1km,36198,49739,3.485,3.792,-0.307,-0.027,-0.082,0.725,11,12,6,29
SCANFIPonderosaPine_1km,36492,49756,0.004,0.098,-0.094,-0.111,0.088,0.944,12,19,2,33
SCANFIprcC_5x5,36492,49756,11.005,10.603,0.402,0.024,-0.16,0.123,8,9,17,34
SCANFIprcC_1km,36492,49756,11.124,10.846,0.278,0.015,-0.163,0.12,9,8,18,35
SCANFIPonderosaPine_5x5,36492,49756,0.005,0.091,-0.086,-0.126,0.093,0.925,14,20,3,37
SCANFILodgepolePine_5x5,27091,30929,2.354,5.13,-2.776,-0.237,0.068,0.733,19,17,5,41
SCANFIDouglasFir_1km,36492,49756,0.354,2.28,-1.926,-0.257,0.054,0.866,23,16,4,43
SCANFIBalsamFir_1km,36492,49756,2.011,3.84,-1.829,-0.247,-0.059,0.421,22,13,9,44
SCANFIBalsamFir_5x5,36054,47485,1.75,3.081,-1.331,-0.244,-0.055,0.357,20,14,11,45
SCANFIheight_1km,36492,49756,6.943,7.727,-0.784,-0.129,-0.146,0.105,15,10,21,46
SCANFIheight_5x5,36492,49756,6.834,7.6,-0.766,-0.136,-0.133,0.119,16,11,19,46
SCANFIheightcv_1km,32035,37837,0.969,1.114,-0.144,-0.122,0.127,0.037,13,23,24.5,60.5
SCANFIWhiteRedPine_1km,36492,49756,0.112,0.623,-0.511,-0.288,0.253,0.674,24,31,7,62
SCANFIWhiteRedPine_5x5,36492,49756,0.11,0.612,-0.502,-0.304,0.251,0.648,25,30,8,63
StandardGreenup_1km,27893,46080,130.151,135.329,-5.178,-0.207,0.079,0.017,17,18,29,64
StandardDormancy_1km,27898,46221,302.383,307.123,-4.741,-0.223,0.122,0.036,18,22,26,66
SCANFIprcD_1km,36492,49756,10.79,21.23,-10.44,-0.528,0.115,0.056,28,21,22,71
SCANFIheightcv_5x5,34177,43079,1.101,1.481,-0.38,-0.246,0.205,0.037,21,27,24.5,72.5
SCANFIclosure_1km,19905,11091,28.924,36.251,-7.327,-0.375,0.169,0.045,26,25,23,74
SCANFIprcD_5x5,36492,49756,10.708,20.673,-9.965,-0.553,0.147,0.025,29,24,27,80
SCANFIbiomass_5x5,13530,11949,46.039,55.373,-9.334,-0.416,0.188,0.021,27,26,28,81
SCANFIbiomass_1km,4108,591,18.319,32.73,-14.411,-0.747,0.215,0.002,30,28,30,88
SCANFIclosure_5x5,2528,2554,27.247,39.397,-12.15,-0.838,0.231,0,31,29,31,91
