,0,100,20,210,220,230,31,32,33,40,50,80,81
0,98.88,0.09,0.02,0.23,0.03,0.00,0.12,0.04,0.07,0.02,0.33,0.18,0.00
100,0.15,25.33,0.53,19.48,4.06,7.23,0.36,0.69,11.92,0.28,21.60,4.06,4.31
20,0.08,0.39,12.01,45.01,1.17,8.75,0.00,0.11,2.71,2.27,18.11,7.94,1.46
210,0.02,0.19,0.85,80.80,1.20,3.91,0.01,0.08,1.56,0.22,6.62,2.92,1.61
220,0.07,0.43,0.77,33.87,36.89,13.76,0.01,0.04,1.10,0.18,6.86,4.05,1.97
230,0.01,0.51,1.59,33.06,5.20,49.87,0.00,0.02,0.20,0.03,4.50,1.91,3.10
31,0.02,0.54,0.04,2.51,0.00,0.00,56.54,4.44,33.98,0.10,1.57,0.25,0.00
32,0.15,2.42,0.44,14.27,0.22,1.36,5.51,21.91,44.17,1.04,7.98,0.53,0.02
33,0.06,2.22,0.63,22.84,0.33,0.65,3.23,2.36,50.32,0.63,14.17,2.31,0.26
40,0.29,0.46,2.45,30.90,0.04,0.05,0.00,0.25,2.29,22.53,26.25,12.70,1.79
50,0.08,1.41,0.92,32.45,0.62,1.60,0.05,0.22,4.80,1.00,53.27,2.93,0.65
80,0.12,0.21,0.83,23.11,1.74,1.52,0.00,0.03,0.69,1.10,5.25,55.01,10.39
81,0.00,0.31,0.39,25.19,1.74,6.17,0.00,0.00,0.16,0.18,2.44,21.25,42.16
