"species","bcr","year","sector","obs_population_mean","obs_population_sd","cf_population_mean","cf_population_sd","HF_impact_mean","HF_impact_sd","HF_percent_impact_mean","HF_percent_impact_sd","cf_sector_population_mean","cf_sector_population_sd","sector_impact_mean","sector_impact_sd","sector_percent_impact_mean","sector_percent_impact_sd","obs_population_on_footprint_mean","obs_population_on_footprint_sd","cf_population_on_footprint_mean","cf_population_on_footprint_sd"
"CAWA","can14","2020","built",627843,9292.1,687429,38148.6,59586,36999.7,9.49,5.89,634343,9351,6500,1048.7,1.04,0.17,5826,81.1,12326,1045.5
"CAWA","can14","2020","crop",627829,9286.5,687416,38147.3,59586,36999.7,9.49,5.89,631836,9317.5,4006,759.5,0.64,0.12,4764,109.8,8770,751.5
"CAWA","can14","2020","dam_and_associated_reservoir",627838,9287.2,687424,38147.5,59586,36999.7,9.49,5.89,629511,9291.7,1674,288.4,0.27,0.05,1854,40.4,3528,285.6
"CAWA","can14","2020","forestry_harvest",627847,9290.3,687433,38148.2,59586,36999.7,9.49,5.89,635339,11427.1,7493,6653.6,1.19,1.06,87098,1447.1,94591,6494.4
"CAWA","can14","2020","mines",627865,9287.7,687452,38147.6,59586,36999.7,9.49,5.89,632444,9449,4579,1738.5,0.73,0.28,10476,220.5,15055,1724.4
"CAWA","can14","2020","nav_water",627829,9291.8,687416,38148.6,59586,36999.7,9.49,5.89,633505,9342.2,5676,969.1,0.9,0.15,7632,184,13307,951.5
"CAWA","can14","2020","night_lights",627839,9288.3,687425,38147.7,59586,36999.7,9.49,5.89,668877,12009.6,41039,7613,6.54,1.22,60576,806,101614,7570.2
"CAWA","can14","2020","oil_gas",627916,9313.7,687502,38153.9,59586,36999.7,9.49,5.89,628142,9315.2,226,163.8,0.04,0.03,489,23.7,715,162.1
"CAWA","can14","2020","pasture",627785,9275.6,687372,38144.6,59586,36999.7,9.49,5.9,645255,9625.7,17470,2572.4,2.78,0.41,9947,171.8,27417,2566.6
"CAWA","can14","2020","population_density",627835,9291.6,687421,38148.5,59586,36999.7,9.49,5.89,709657,34821.4,81822,33558.9,13.03,5.35,410684,5830.4,492506,33048.5
"CAWA","can14","2020","rail",627844,9289.7,687430,38148.1,59586,36999.7,9.49,5.89,635283,9395.5,7440,1405.7,1.18,0.22,10219,205.4,17658,1390.6
"CAWA","can14","2020","roads",627870,9286.9,687456,38147.4,59586,36999.7,9.49,5.89,695571,30421.1,67701,28968.9,10.78,4.62,344216,4689.3,411917,28586.9
