"species","bcr","year","sector","footprint_id","obs_population_on_footprint","cf_population_on_footprint","sector_impact_footprint","sector_percent_impact_footprint"
"CAWA","can14","2020","built",1,0,0,0,NA
"CAWA","can14","2020","built",2,0,0,0,NA
"CAWA","can14","2020","built",3,0,0,0,NA
"CAWA","can14","2020","built",4,0,0,0,NA
"CAWA","can14","2020","built",5,0,0,0,NA
"CAWA","can14","2020","built",6,0,0,0,NA
"CAWA","can14","2020","built",7,0,0,0,NA
"CAWA","can14","2020","built",8,0,0,0,NA
"CAWA","can14","2020","built",10,0,0,0,NA
"CAWA","can14","2020","built",11,0,0,0,NA
"CAWA","can14","2020","built",12,0,0,0,NA
"CAWA","can14","2020","built",13,0,0,0,NA
"CAWA","can14","2020","built",15,0,0,0,NA
"CAWA","can14","2020","built",16,0,0,0,NA
"CAWA","can14","2020","built",17,0,0,0,NA
"CAWA","can14","2020","built",18,0,0,0,NA
"CAWA","can14","2020","built",20,0,0,0,NA
"CAWA","can14","2020","built",21,0,0,0,NA
"CAWA","can14","2020","built",22,0,0,0,NA
"CAWA","can14","2020","built",23,0,0,0,NA
"CAWA","can14","2020","built",24,0,0,0,NA
"CAWA","can14","2020","built",25,0,0,0,NA
"CAWA","can14","2020","built",26,0,0,0,NA
"CAWA","can14","2020","built",27,0,0,0,NA
"CAWA","can14","2020","built",28,0,0,0,NA
"CAWA","can14","2020","built",29,0,0,0,NA
"CAWA","can14","2020","built",30,0,0,0,NA
"CAWA","can14","2020","built",31,0,0,0,NA
"CAWA","can14","2020","built",32,0,0,0,NA
"CAWA","can14","2020","built",33,0,0,0,NA
"CAWA","can14","2020","built",34,0,0,0,NA
"CAWA","can14","2020","built",35,0,0,0,NA
"CAWA","can14","2020","built",36,0,0,0,NA
"CAWA","can14","2020","built",37,0,0,0,NA
"CAWA","can14","2020","built",38,0,0,0,NA
"CAWA","can14","2020","built",39,0,0,0,NA
"CAWA","can14","2020","built",40,0,0,0,NA
"CAWA","can14","2020","built",41,0,0,0,NA
"CAWA","can14","2020","built",42,0,0,0,NA
"CAWA","can14","2020","built",43,0,0,0,NA
"CAWA","can14","2020","built",45,0,0,0,NA
"CAWA","can14","2020","built",46,0,0,0,NA
"CAWA","can14","2020","built",47,0,0,0,NA
"CAWA","can14","2020","built",48,0,0,0,NA
"CAWA","can14","2020","built",49,0,0,0,NA
"CAWA","can14","2020","built",50,0,0,0,NA
