"species","year","sector","obs_population_mean","obs_population_sd","cf_population_mean","cf_population_sd","HF_impact_mean","HF_impact_sd","HF_percent_impact_mean","HF_percent_impact_sd","cf_sector_population_mean","cf_sector_population_sd","sector_impact_mean","sector_impact_sd","sector_percent_impact_mean","sector_percent_impact_sd"
"CAWA","2020","built",701754,25767,730578,102699.3,28825,98605.3,4.11,14.05,707962,25871.4,6189,2525.4,0.88,0.36
"CAWA","2020","crop",701754,25767,730578,102699.3,28825,98605.3,4.11,14.05,705364,25626,3599,1682.3,0.51,0.24
"CAWA","2020","dam_and_associated_reservoir",701754,25767,730578,102699.3,28825,98605.3,4.11,14.05,702617,25348.4,937,612.9,0.13,0.09
"CAWA","2020","forestry_harvest",701754,25767,730578,102699.3,28825,98605.3,4.11,14.05,706290,30511.6,4553,15798.7,0.65,2.25
"CAWA","2020","mines",701754,25767,730578,102699.3,28825,98605.3,4.11,14.05,705943,25618.5,4335,3266.7,0.62,0.47
"CAWA","2020","nav_water",701754,25767,730578,102699.3,28825,98605.3,4.11,14.05,705945,25758.4,4217,2527.7,0.6,0.36
"CAWA","2020","night_lights",701754,25767,730578,102699.3,28825,98605.3,4.11,14.05,738955,33657.5,37228,19682.4,5.3,2.81
"CAWA","2020","oil_gas",701754,25767,730578,102699.3,28825,98605.3,4.11,14.05,701843,25231.8,225,161.1,0.03,0.02
"CAWA","2020","pasture",701754,25767,730578,102699.3,28825,98605.3,4.11,14.05,718949,26508.7,17292,5369.9,2.46,0.77
"CAWA","2020","population_density",701754,25767,730578,102699.3,28825,98605.3,4.11,14.05,759432,92219.4,57684,87471.5,8.22,12.47
"CAWA","2020","rail",701754,25767,730578,102699.3,28825,98605.3,4.11,14.05,708902,26077.7,7153,3556.3,1.02,0.51
"CAWA","2020","roads",701754,25767,730578,102699.3,28825,98605.3,4.11,14.05,749633,80711,47978,75388,6.84,10.75
